row_number,id,audience,source_file,source_line,report_surface,report_section,subject_if_known,grade_if_known,class_or_student_context_if_known,data_state_if_known,engine_meaning_plain_he,before_in_report_context,suggested_replacement_placeholder,after_in_report_context_placeholder,context_confidence,notes
57,TS-HE-01154,teacher,lib/teacher-portal/teacher-ui.he.js,239,report_general,general,,ה׳,,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: מומלץ לפתוח תרגול אבחוני קצר כדי לזהות את הנושא המדויק",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_student_thin
58,TS-HE-01157,teacher,lib/teacher-portal/teacher-ui.he.js,248,report_general,activity,,ה׳,,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | פעילות
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: מומלץ לפתוח פעילות אבחונית קצרה או חזרה כיתתית ממוקדת",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_student_thin
59,TS-HE-00014,mixed_or_unclear,components/reporting/ReportHubModal.jsx,193,report_general,data_health,,ה׳,תלמיד בודד — [תלמיד],no_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: no_data
כפי שמופיע היום: אין תלמידים בקבוצה זו.",,ימולא לאחר אישור נוסח,high,
60,TS-HE-00024,school_manager,components/school-portal/SchoolDrillDown.jsx,102,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: מצב שכבה",,ימולא לאחר אישור נוסח,high,
61,TS-HE-00025,school_manager,components/school-portal/SchoolDrillDown.jsx,104,school_admin_ui,status_labels,,ה׳,כיתה — כיתה ה׳ (28 תלמידים),normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: normal_data
כפי שמופיע היום: מצב כיתה",,ימולא לאחר אישור נוסח,high,
62,TS-HE-00047,school_manager,components/school-portal/SchoolReportModalBody.jsx,77,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין עדיין נתונים",,ימולא לאחר אישור נוסח,high,
63,TS-HE-00050,school_manager,components/school-portal/SchoolTeacherClassStudentsModal.jsx,68,school_admin_ui,data_health,,כיתה זו,תלמיד בודד — [תלמיד],no_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: כיתה זו
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: no_data
כפי שמופיע היום: אין תלמידים בכיתה זו.",,ימולא לאחר אישור נוסח,high,
64,TS-HE-00131,teacher,components/teacher-portal/TeacherDashboardClient.jsx,28,teacher_dashboard,status_labels,,ה׳,רשימת כיתות/תלמידים בלוח בקרה,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בלוח בקרה של המורה | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: רשימת כיתות/תלמידים בלוח בקרה
מצב נתונים: normal_data
כפי שמופיע היום: מצב לימודי",,ימולא לאחר אישור נוסח,high,
65,TS-HE-00319,teacher,lib/classroom-activities/generate-activity-questions-client.js,97,subject_permission,data_health,חשבון,ה׳,,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בהרשאות מקצוע / סינון מקצועות | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: אין מספיק שאלות … עבור … — נושא: … — רמה: …",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
66,TS-HE-00434,mixed_or_unclear,lib/platform-ui/hebrew-display-labels.js,89,report_general,status_labels,חשבון,ה׳,,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק המורה | תוויות סטטוס
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: עדכון סטטוס חשבון",,ימולא לאחר אישור נוסח,high,
67,TS-HE-00472,school_manager,lib/school-portal/school-communication.he.js,21,activity_export,data_health,חשבון,ה׳,תלמיד בודד — [תלמיד],normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: לא נוצר חשבון לתלמיד זה",,ימולא לאחר אישור נוסח,high,
68,TS-HE-00474,school_manager,lib/school-portal/school-communication.he.js,24,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית/משפט במפתח sc btn add parent — מוצג למורה/מנהל בהקשר תוויות ייצוא.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: הוסף גישת הורה",,ימולא לאחר אישור נוסח,high,
69,TS-HE-00487,school_manager,lib/school-portal/school-communication.he.js,37,activity_export,data_health,חשבון,ה׳,תלמיד בודד — [תלמיד],normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: לא נוצרו חשבונות הורים לתלמיד זה",,ימולא לאחר אישור נוסח,high,
70,TS-HE-00508,school_manager,lib/school-portal/school-communication.he.js,62,activity_export,data_health,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כותרת במסך: הודעות בית ספר
כפי שמופיע היום: לא נשלחו הודעות עדיין",,ימולא לאחר אישור נוסח,high,
71,TS-HE-00528,school_manager,lib/school-portal/school-communication.he.js,83,activity_export,data_health,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כותרת במסך: הודעה חדשה
כפי שמופיע היום: יש להזין תוכן להודעה",,ימולא לאחר אישור נוסח,high,
72,TS-HE-00541,school_manager,lib/school-portal/school-communication.he.js,98,activity_export,data_health,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כותרת במסך: הודעה חדשה
כפי שמופיע היום: אין הודעות מבית הספר",,ימולא לאחר אישור נוסח,high,
73,TS-HE-00561,school_manager,lib/school-portal/school-communication.he.js,122,activity_export,data_health,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כותרת במסך: הודעות מהנהלת בית הספר
כפי שמופיע היום: אין הודעות מבית הספר",,ימולא לאחר אישור נוסח,high,
74,TS-HE-00571,school_manager,lib/school-portal/school-communication.he.js,134,activity_export,data_health,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כותרת במסך: דוח למידה קצר
כפי שמופיע היום: אין נתוני למידה עדיין",,ימולא לאחר אישור נוסח,high,
75,TS-HE-00605,school_manager,lib/school-portal/school-report-view-model.js,254,school_admin_ui,subject_scope,חשבון,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | היקף מקצועות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: …. נדרש מעקב נוסף במקצוע זה וחיזוק ממוקד.",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
76,TS-HE-00612,school_manager,lib/school-portal/school-report-view-model.js,301,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,partial_date_range,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: partial_date_range
כפי שמופיע היום: …. דיוק כללי … בתקופה האחרונה.",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
77,TS-HE-00623,school_manager,lib/school-portal/school-report-view-model.js,369,school_admin_ui,status_labels,,ה׳,כיתה — כיתה ה׳ (28 תלמידים),normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: normal_data
כפי שמופיע היום: מצב כיתה",,ימולא לאחר אישור נוסח,high,
78,TS-HE-00632,school_manager,lib/school-portal/school-report-view-model.js,400,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: פעיל",,ימולא לאחר אישור נוסח,high,
79,TS-HE-00633,school_manager,lib/school-portal/school-report-view-model.js,400,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: ללא נתונים",,ימולא לאחר אישור נוסח,high,
80,TS-HE-00636,school_manager,lib/school-portal/school-report-view-model.js,419,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת תמיכה",,ימולא לאחר אישור נוסח,high,
81,TS-HE-00637,school_manager,lib/school-portal/school-report-view-model.js,423,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת חיזוק",,ימולא לאחר אישור נוסח,high,
82,TS-HE-00638,school_manager,lib/school-portal/school-report-view-model.js,427,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת התקדמות",,ימולא לאחר אישור נוסח,high,
83,TS-HE-00641,school_manager,lib/school-portal/school-report-view-model.js,453,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת תמיכה",,ימולא לאחר אישור נוסח,high,
84,TS-HE-00642,school_manager,lib/school-portal/school-report-view-model.js,454,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת חיזוק",,ימולא לאחר אישור נוסח,high,
85,TS-HE-00643,school_manager,lib/school-portal/school-report-view-model.js,455,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: קבוצת התקדמות",,ימולא לאחר אישור נוסח,high,
86,TS-HE-00644,school_manager,lib/school-portal/school-report-view-model.js,462,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: הגישו / פעילים",,ימולא לאחר אישור נוסח,high,
87,TS-HE-00645,school_manager,lib/school-portal/school-report-view-model.js,463,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,partial_date_range,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: partial_date_range
כפי שמופיע היום: ללא נתונים בתקופה",,ימולא לאחר אישור נוסח,high,
88,TS-HE-00647,school_manager,lib/school-portal/school-report-view-model.js,478,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין פעילויות",,ימולא לאחר אישור נוסח,high,
89,TS-HE-00648,school_manager,lib/school-portal/school-report-view-model.js,478,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: … פעילויות",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
90,TS-HE-00650,school_manager,lib/school-portal/school-report-view-model.js,483,school_admin_ui,status_labels,,ה׳,תלמיד בודד — [תלמיד],no_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: no_data
כפי שמופיע היום: אין תלמידים",,ימולא לאחר אישור נוסח,high,
91,TS-HE-00651,school_manager,lib/school-portal/school-report-view-model.js,483,school_admin_ui,status_labels,,ה׳,תלמיד בודד — [תלמיד],normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: … תלמידים",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
92,TS-HE-00653,school_manager,lib/school-portal/school-report-view-model.js,488,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין נושאים",,ימולא לאחר אישור נוסח,high,
93,TS-HE-00654,school_manager,lib/school-portal/school-report-view-model.js,488,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: … נושאים",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
94,TS-HE-00656,school_manager,lib/school-portal/school-report-view-model.js,493,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין",,ימולא לאחר אישור נוסח,high,
95,TS-HE-00657,school_manager,lib/school-portal/school-report-view-model.js,493,school_admin_ui,status_labels,,ה׳,תלמיד בודד — [תלמיד],normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: … תלמידים",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
96,TS-HE-00659,school_manager,lib/school-portal/school-report-view-model.js,498,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: פירוט",,ימולא לאחר אישור נוסח,high,matched scenario: school_class_report
97,TS-HE-00660,school_manager,lib/school-portal/school-report-view-model.js,498,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין נתונים",,ימולא לאחר אישור נוסח,high,
98,TS-HE-00662,school_manager,lib/school-portal/school-report-view-model.js,511,school_admin_ui,data_health,,כיתה להצגה,כיתה — כיתה ה׳ (28 תלמידים),partial_date_range,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: כיתה להצגה
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: partial_date_range
כפי שמופיע היום: אין פעילויות כיתה להצגה בתקופה זו.",,ימולא לאחר אישור נוסח,high,
99,TS-HE-00664,school_manager,lib/school-portal/school-report-view-model.js,516,school_admin_ui,data_health,,כיתה זו,תלמיד בודד — [תלמיד],no_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: כיתה זו
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: no_data
כפי שמופיע היום: אין תלמידים רשומים בכיתה זו.",,ימולא לאחר אישור נוסח,high,
100,TS-HE-00666,school_manager,lib/school-portal/school-report-view-model.js,524,school_admin_ui,data_health,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים להתפלגות.",,ימולא לאחר אישור נוסח,high,
101,TS-HE-00669,school_manager,lib/school-portal/school-report-view-model.js,536,school_admin_ui,data_health,,ה׳,תלמיד בודד — [תלמיד],normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: לא זוהו תלמידים בולטים לתשומת לב.",,ימולא לאחר אישור נוסח,high,
102,TS-HE-00683,school_manager,lib/school-portal/school-report-view-model.js,604,subject_permission,status_labels,חשבון (לדוגמה),ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בהרשאות מקצוע / סינון מקצועות | תוויות סטטוס
מקצוע לדוגמה: חשבון (לדוגמה)
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין עדיין נתונים",,ימולא לאחר אישור נוסח,high,
103,TS-HE-00684,school_manager,lib/school-portal/school-report-view-model.js,608,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: … מפגשים",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
104,TS-HE-00688,school_manager,lib/school-portal/school-report-view-model.js,621,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: פעיל",,ימולא לאחר אישור נוסח,high,
105,TS-HE-00689,school_manager,lib/school-portal/school-report-view-model.js,621,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: ללא נתונים",,ימולא לאחר אישור נוסח,high,
106,TS-HE-00691,school_manager,lib/school-portal/school-report-view-model.js,628,guidance_diagnostic,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בבלוק הכוונה/אבחון | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: טעות בתרגול",,ימולא לאחר אישור נוסח,high,
107,TS-HE-00693,school_manager,lib/school-portal/school-report-view-model.js,631,school_admin_ui,status_labels,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק ניהול בית הספר | תוויות סטטוס
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: טעות",,ימולא לאחר אישור נוסח,high,
108,TS-HE-00697,school_manager,lib/school-portal/school-report-view-model.js,695,school_admin_ui,guidance_recommendation,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,המלצת פעולה או כיוון תמיכה למורה.,"בממשק ניהול בית הספר | המלצות והכוונה
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: המלצה …",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
109,TS-HE-00700,school_manager,lib/school-portal/school-report-view-model.js,708,subject_permission,status_labels,חשבון (לדוגמה),ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בהרשאות מקצוע / סינון מקצועות | תוויות סטטוס
מקצוע לדוגמה: חשבון (לדוגמה)
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין עדיין נתונים",,ימולא לאחר אישור נוסח,high,
110,TS-HE-00701,school_manager,lib/school-portal/school-report-view-model.js,708,subject_permission,status_labels,חשבון (לדוגמה),ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בהרשאות מקצוע / סינון מקצועות | תוויות סטטוס
מקצוע לדוגמה: חשבון (לדוגמה)
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: יש נתונים",,ימולא לאחר אישור נוסח,high,
111,TS-HE-00702,school_manager,lib/school-portal/school-report-view-model.js,708,subject_permission,status_labels,חשבון (לדוגמה),ה׳,מנהל/ת בית ספר — סקירת בית ספר,normal_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בהרשאות מקצוע / סינון מקצועות | תוויות סטטוס
מקצוע לדוגמה: חשבון (לדוגמה)
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: normal_data
כפי שמופיע היום: אין נתונים",,ימולא לאחר אישור נוסח,high,
