row_number,review_file,id,source_file,source_line,report_surface,report_section,subject_if_known,topic_if_known,scenario_if_known,engine_meaning_plain_he,before_in_report_context,after_in_report_context,context_confidence,notes
96,parent-report-hebrew-owner-review-02-rows-051-100.xlsx,PR-HE-00629,utils/detailed-parent-report.js,1039,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: שברים: נראה שעקביות המסלול נשמרה והתוצאה מתאימה לציפייה.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: …: נראה שעקביות המסלול נשמרה והתוצאה מתאימה לציפייה.",medium,
97,parent-report-hebrew-owner-review-02-rows-051-100.xlsx,PR-HE-00630,utils/detailed-parent-report.js,1046,short_report,subject_card,חשבון,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: שברים: כדאי לאסוף עוד מידע לפני שממשיכים באותו מסלול.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: …: כדאי לאסוף עוד מידע לפני שממשיכים באותו מסלול.",medium,
98,parent-report-hebrew-owner-review-02-rows-051-100.xlsx,PR-HE-00631,utils/detailed-parent-report.js,1050,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: שברים: הציפייה מהמסלול הקודם לא נראית מתיישרת עם מה שרואים עכשיו.","דוח קצר — כללי
אחרי החלפה: …: הציפייה מהמסלול הקודם לא נראית מתיישרת עם מה שרואים עכשיו.",medium,
99,parent-report-hebrew-owner-review-02-rows-051-100.xlsx,PR-HE-00632,utils/detailed-parent-report.js,1176,short_report,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כללי
לפני החלפה: שברים: יש סימנים טובים, אבל כדאי לראות עוד הצלחה קצרה בלי עזרה לפני שמפחיתים תמיכה.","דוח קצר — כללי
אחרי החלפה: …: יש סימנים טובים, אבל כדאי לראות עוד הצלחה קצרה בלי עזרה לפני שמפחיתים תמיכה.",medium,
100,parent-report-hebrew-owner-review-02-rows-051-100.xlsx,PR-HE-00633,utils/detailed-parent-report.js,1183,short_report,subject_card,חשבון,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: שברים: כדאי סבב תצפית/נתון עדכני לפני החלטה מהותית.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: …: כדאי סבב תצפית/נתון עדכני לפני החלטה מהותית.",medium,
101,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00634,utils/detailed-parent-report.js,1186,short_report,subject_card,חשבון,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: שברים: אם הסבב הבא חוזר על אותו דפוס בלי שיפור — כדאי לשקול שינוי כיוון זהיר.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: …: אם הסבב הבא חוזר על אותו דפוס בלי שיפור — כדאי לשקול שינוי כיוון זהיר.",medium,
102,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00635,utils/detailed-parent-report.js,1303,short_report,topic_card,,שברים,,המנוע מנסה להסביר איפה הופיע קושי בתרגול ומה כדאי לבדוק שוב.,"דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: שברים: ייתכן שהקושי הנראה קשור גם לבסיס — לא רק לנקודה אחת בנושא.","דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: …: ייתכן שהקושי הנראה קשור גם לבסיס — לא רק לנקודה אחת בנושא.",medium,
103,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00636,utils/detailed-parent-report.js,1307,short_report,subject_card,חשבון,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: שברים: כדאי לפתוח קודם ייצוב בסיס קצר — ואז לחדד במקצוע.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: …: כדאי לפתוח קודם ייצוב בסיס קצר — ואז לחדד במקצוע.",medium,
104,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00637,utils/detailed-parent-report.js,1310,short_report,topic_card,,שברים,,המנוע מנסה להבין אם הקושי מופיע בכמה נושאים או בעיקר בנושא אחד.,"דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: שברים: נראה שהקושי ממוקד בנושא הזה — אפשר לתרגל אותו בלי להרחיב יותר מדי.","דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: …: נראה שהקושי ממוקד בנושא הזה — אפשר לתרגל אותו בלי להרחיב יותר מדי.",medium,
105,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00638,utils/detailed-parent-report.js,1338,short_report,subject_card,חשבון,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
לפני החלפה: בכמה מקצועות כדאי לחזק קודם בסיס לפני הרחבה או ליטוש עמוק.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
אחרי החלפה (ללא שינוי מוצע): בכמה מקצועות כדאי לחזק קודם בסיס לפני הרחבה או ליטוש עמוק.",medium,Source may feed parent report — confirm render path
106,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00639,utils/detailed-parent-report.js,1339,short_report,subject_card,חשבון,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
לפני החלפה: ברוב המקצועות הקושי נראה ממוקד או שהמידע עדיין חלקי — לא צריך להסיק שיש קושי רחב בכל המקצועות.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
אחרי החלפה (ללא שינוי מוצע): ברוב המקצועות הקושי נראה ממוקד או שהמידע עדיין חלקי — לא צריך להסיק שיש קושי רחב בכל המקצועות.",medium,Source may feed parent report — confirm render path
107,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00653,utils/detailed-parent-report.js,1592,short_report,subject_card,חשבון,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: [נתון משתנה] — לא נאספו שאלות בתקופה שנבחרה","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: … — לא נאספו שאלות בתקופה שנבחרה",medium,
108,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00654,utils/detailed-parent-report.js,1595,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: [נתון משתנה] — מספר שאלות נמוך ([נתון משתנה] שאלות)","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: … — מספר שאלות נמוך (… שאלות)",medium,
109,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00655,utils/detailed-parent-report.js,1602,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: [נתון משתנה] — נאספו [נתון משתנה] שאלות עם דיוק טוב ([נתון משתנה]%)","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: … — נאספו … שאלות עם דיוק טוב (…%)",medium,
110,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00656,utils/detailed-parent-report.js,1607,short_report,data_health,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — מצב נתונים
לפני החלפה: אין עדיין מקצוע בולט לפי כמות השאלות והדיוק — המשך תרגול יעשה את ההבדל.","דוח קצר — מצב נתונים
אחרי החלפה (ללא שינוי מוצע): אין עדיין מקצוע בולט לפי כמות השאלות והדיוק — המשך תרגול יעשה את ההבדל.",medium,
111,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00657,utils/detailed-parent-report.js,1625,short_report,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — מצב נתונים
לפני החלפה: מקצועות שלא תורגלו בתקופה: [נתון משתנה].","דוח קצר — מצב נתונים
אחרי החלפה: מקצועות שלא תורגלו בתקופה: ….",high,
112,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00658,utils/detailed-parent-report.js,1630,short_report,subject_card,חשבון,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: ב[נתון משתנה] עדיין יש מעט מידע — התמונה תתבהר אחרי עוד תרגול.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: ב… עדיין יש מעט מידע — התמונה תתבהר אחרי עוד תרגול.",medium,
113,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00659,utils/detailed-parent-report.js,1637,short_report,general,,,,המנוע מנסה לתת להורה פעולה פשוטה שאפשר לעשות בבית בלי לחץ.,"דוח קצר — home recommendations
לפני החלפה: בכמה מקצועות חוזרת אותה תמונה: קריאה זהירה של ניסוח המשימה לפני כתיבת התשובה. מומלץ לקבע בבית רגע קצר קבוע לזה.","דוח קצר — home recommendations
אחרי החלפה (ללא שינוי מוצע): בכמה מקצועות חוזרת אותה תמונה: קריאה זהירה של ניסוח המשימה לפני כתיבת התשובה. מומלץ לקבע בבית רגע קצר קבוע לזה.",medium,
114,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00660,utils/detailed-parent-report.js,1641,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
לפני החלפה: כרגע לא נראה דפוס שחוזר בכמה מקצועות — כשיתווסף עוד תרגול, הסעיף הזה יתעדכן.","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אזור בדוח: subject_card
אחרי החלפה (ללא שינוי מוצע): כרגע לא נראה דפוס שחוזר בכמה מקצועות — כשיתווסף עוד תרגול, הסעיף הזה יתעדכן.",medium,Source may feed parent report — confirm render path
115,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00661,utils/detailed-parent-report.js,1647,short_report,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כללי
לפני החלפה: מספר השאלות בתקופה נמוך — יש לקרוא את המסקנות הכלליות בעדינות.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): מספר השאלות בתקופה נמוך — יש לקרוא את המסקנות הכלליות בעדינות.",medium,Source may feed parent report — confirm render path
116,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00662,utils/detailed-parent-report.js,1658,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: ב[נתון משתנה]: [נתון משתנה]","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: ב…: …",medium,
117,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00663,utils/detailed-parent-report.js,1664,short_report,general,,,,המנוע מנסה לתת להורה פעולה פשוטה שאפשר לעשות בבית בלי לחץ.,"דוח קצר — כללי
לפני החלפה: עדיין אין המלצות ממוקדות מהמערכת — מומלץ להמשיך על שגרת תרגול קבועה.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): עדיין אין המלצות ממוקדות מהמערכת — מומלץ להמשיך על שגרת תרגול קבועה.",medium,
118,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00664,utils/detailed-parent-report.js,1675,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: ב[נתון משתנה]: [נתון משתנה]","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: ב…: …",medium,
119,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00665,utils/detailed-parent-report.js,1681,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: כשיתווסף עוד תרגול בתקופה שנבחרה, יופיע כאן כיוון ברור יותר — עד אז עדיף לא להעמיס יעדים מיותרים.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): כשיתווסף עוד תרגול בתקופה שנבחרה, יופיע כאן כיוון ברור יותר — עד אז עדיף לא להעמיס יעדים מיותרים.",medium,
120,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00669,utils/detailed-parent-report.js,1928,short_report,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","דוח קצר — כללי
לפני החלפה: חיזוק ממוקד לפני קידום","דוח קצר — כללי
אחרי החלפה: כדאי לבדוק שוב לפני שמחליטים אם מתאים להתקדם.",medium,Source may feed parent report — confirm render path
121,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00670,utils/detailed-parent-report.js,1929,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: לאסוף עוד מידע לפני החלטה","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): לאסוף עוד מידע לפני החלטה",high,Source may feed parent report — confirm render path
122,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00671,utils/detailed-parent-report.js,2062,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: חיזוק ממוקד לפי הדוח","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): חיזוק ממוקד לפי הדוח",medium,Source may feed parent report — confirm render path
123,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00672,utils/detailed-parent-report.js,2063,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: לאסוף עוד מידע לפני החלטה","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): לאסוף עוד מידע לפני החלטה",high,Source may feed parent report — confirm render path
124,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00675,utils/detailed-parent-report.js,2221,short_report,topic_card,,שברים,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: בחלק מהנושאים המידע עדיין מצומצם — נשארים בצעדים קטנים עד להתבססות נתון נוסף.","דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: בחלק מהנושאים המידע עדיין מצומצם — נשארים בצעדים קטנים עד להצטברות עוד תרגול.",medium,
125,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00677,utils/detailed-parent-report.js,2325,short_report,topic_card,,שברים,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
לפני החלפה: יש פעילות בנושא בתקופה, אך עדיין אין תמונה מסודרת מהתרגולים על הנושא — כדאי להמשיך בתרגול.","דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
אחרי החלפה (ללא שינוי מוצע): יש פעילות בנושא בתקופה, אך עדיין אין תמונה מסודרת מהתרגולים על הנושא — כדאי להמשיך בתרגול.",medium,Source may feed parent report — confirm render path
126,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00678,utils/detailed-parent-report.js,2326,short_report,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — מצב נתונים
לפני החלפה: אין מספיק נתונים בתקופה הנבחנת.","דוח קצר — מצב נתונים
אחרי החלפה (ללא שינוי מוצע): אין מספיק נתונים בתקופה הנבחנת.",high,
127,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00686,utils/detailed-parent-report.js,2594,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: עדיין לא הצטבר מספיק מידע לתמונה רחבה מהתרגולים.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): עדיין לא הצטבר מספיק מידע לתמונה רחבה מהתרגולים.",high,Source may feed parent report — confirm render path
128,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00689,utils/detailed-parent-report.js,2610,short_report,topic_card,,שברים,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
לפני החלפה: התקדמות יציבה וטובה בחלק מהנושאים","דוח קצר — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
אחרי החלפה (ללא שינוי מוצע): התקדמות יציבה וטובה בחלק מהנושאים",medium,Source may feed parent report — confirm render path
129,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00690,utils/detailed-parent-report.js,2617,short_report,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — כללי
לפני החלפה: בחלק מהשורות מה שרואים עדיין לא מספיק כדי לסגור תמונה ברורה.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): בחלק מהשורות מה שרואים עדיין לא מספיק כדי לסגור תמונה ברורה.",medium,Source may feed parent report — confirm render path
130,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00691,utils/detailed-parent-report.js,2633,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: להמשיך באותה מורכבות ולבחון הרחבה זהירה רק אחרי עקביות נוספת.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): להמשיך באותה מורכבות ולבחון הרחבה זהירה רק אחרי עקביות נוספת.",medium,Source may feed parent report — confirm render path
131,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00694,utils/detailed-parent-report.js,2645,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: יש לבדוק גם חלופה: [נתון משתנה].","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: יש לבדוק גם חלופה: ….",medium,
132,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00695,utils/detailed-parent-report.js,2701,short_report,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"דוח קצר — home recommendations
לפני החלפה: כרגע אין המלצה ביתית אחת מרכזית, כי עדיין צריך עוד מידע.","דוח קצר — home recommendations
אחרי החלפה (ללא שינוי מוצע): כרגע אין המלצה ביתית אחת מרכזית, כי עדיין צריך עוד מידע.",high,
133,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00696,utils/detailed-parent-report.js,2706,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: התקדמות יציבה וטובה ב[נתון משתנה]","דוח קצר — כללי
אחרי החלפה: התקדמות יציבה וטובה ב…",medium,
134,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00697,utils/detailed-parent-report.js,2708,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: התקדמות יציבה וטובה ב[נתון משתנה]","דוח קצר — כללי
אחרי החלפה: התקדמות יציבה וטובה ב…",medium,
135,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00698,utils/detailed-parent-report.js,2778,short_report,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כללי
לפני החלפה: להמשיך באותו קצב תרגול — המצב נראה יציב בתקופה שנבחרה.","דוח קצר — כללי
אחרי החלפה (ללא שינוי מוצע): להמשיך באותו קצב תרגול — המצב נראה יציב בתקופה שנבחרה.",medium,Source may feed parent report — confirm render path
136,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00699,utils/detailed-parent-report.js,2795,short_report,subject_card,חשבון,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
לפני החלפה: ב[נתון משתנה]: [נתון משתנה]","דוח קצר — כרטיס מקצוע | מקצוע לדוגמה: חשבון
אחרי החלפה: ב…: …",medium,
137,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00730,utils/detailed-report-parent-letter-he.js,158,report_builder,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כללי
לפני החלפה: בשברים המידע שנאסף בתקופה שנבחרה עדיין חלקי; הכיוון הסביר ביותר כרגע הוא [הכיוון המרכזי] — בלי לנעול תוכנית ארוכה.","בונה דוח — כללי
אחרי החלפה: ב… המידע שנאסף בתקופה שנבחרה עדיין חלקי; הכיוון הסביר ביותר כרגע הוא … — בלי לקבוע תוכנית ארוכה מראש.",medium,
138,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00734,utils/detailed-report-parent-letter-he.js,179,report_builder,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — מצב נתונים
לפני החלפה: דל נתון","בונה דוח — מצב נתונים
אחרי החלפה: מעט מידע",medium,
139,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00740,utils/detailed-report-parent-letter-he.js,203,report_builder,general,,,normal_data_math_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: נראה ש","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): נראה ש",high,Source may feed parent report — confirm render path
140,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00741,utils/detailed-report-parent-letter-he.js,204,report_builder,topic_card,,שברים,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: [נתון משתנה]בשברים יש התקדמות חלקית ב־[נתון משתנה] (דיוק כ־[דיוק]%).","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: …ב… יש התקדמות חלקית ב־… (דיוק כ־…%).",medium,
141,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00742,utils/detailed-report-parent-letter-he.js,206,report_builder,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כללי
לפני החלפה: עדיין מוקדם לסכם לגבי שברים — מעט מידע בתקופה שנבחרה.","בונה דוח — כללי
אחרי החלפה: עדיין מוקדם לסכם לגבי … — מעט מידע בתקופה שנבחרה.",medium,
142,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00745,utils/detailed-report-parent-letter-he.js,236,report_builder,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — מצב נתונים
לפני החלפה: דל נתון","בונה דוח — מצב נתונים
אחרי החלפה: מעט מידע",medium,
143,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00749,utils/detailed-report-parent-letter-he.js,256,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: שווה לחזק; הדפוס חוזר בעקביות.","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): שווה לחזק; הדפוס חוזר בעקביות.",medium,Source may feed parent report — confirm render path
144,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00750,utils/detailed-report-parent-letter-he.js,257,report_builder,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — כללי
לפני החלפה: שווה לחזק — וכדאי להמשיך לעקוב בלי למהר לקבוע כיוון סופי.","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): שווה לחזק — וכדאי להמשיך לעקוב בלי למהר לקבוע כיוון סופי.",high,
145,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00751,utils/detailed-report-parent-letter-he.js,259,report_builder,topic_card,,שברים,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: לפי התרגול שנאסף בתקופה שנבחרה: [נתון משתנה] יש בסיס טוב; לעומת זאת [נתון משתנה] [נתון משתנה]","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: לפי התרגול שנאסף בתקופה שנבחרה: … יש בסיס טוב; לעומת זאת … …",medium,
146,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00752,utils/detailed-report-parent-letter-he.js,265,report_builder,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — home recommendations
לפני החלפה: חזרה עקבית — כדאי לשים על זה דגש","בונה דוח — home recommendations
אחרי החלפה (ללא שינוי מוצע): חזרה עקבית — כדאי לשים על זה דגש",medium,
147,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00753,utils/detailed-report-parent-letter-he.js,266,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: עדיין לא ברור אם זה דפוס ארוך","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): עדיין לא ברור אם זה דפוס ארוך",high,Source may feed parent report — confirm render path
148,parent-report-hebrew-owner-review-03-rows-101-150.xlsx,PR-HE-00754,utils/detailed-report-parent-letter-he.js,267,report_builder,topic_card,,שברים,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: המיקוד המעשי כרגע: [נתון משתנה] — [נתון משתנה].","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה: המיקוד המעשי כרגע: … — ….",medium,
