row_number,id,audience,source_file,source_line,surface,section,copy_type,meaning_plain_he,before_in_context,context_confidence,notes
102,SG-HE-00758,mixed_or_unclear,data/legal/sitePolicies.he.js,408,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: לאחר מחיקה, עותקי גיבוי או שחזור טכניים עשויים להישמר עד … ימי עסקים — לצורכי שחזור אחר תקלה, בטיחות טכנית או חובה משפטית/אבטחתית בלבד.",medium,placeholders substituted
103,SG-HE-09459,mixed_or_unclear,utils/math-animations.js,290,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: מחברים את ספרת ה…: … + …… = …. כותבים … בעמודת ה…….",medium,placeholders substituted
104,SG-HE-00253,mixed_or_unclear,data/help-center/articleHelpers.js,83,help_center,help,heading,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: heading
כפי שמופיע: הם נועדו לשמש כלי עזר לימודי להורה ולתלמיד, ואינם מהווים אבחון חינוכי, דידקטי או מקצועי, ואינם מחליפים שיקול דעת של מורה, יועץ, איש חינוך או בעל מקצוע מוסמך.",high,
105,SG-HE-10404,mixed_or_unclear,utils/math-explanations.js,977,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: …. בעמודת ה… … קטן מ-…, לכן לוקחים ""השאלה"" מהעמודה הבאה (מוסיפים 10 לספרה הזו ומפחיתים 1 בעמודה הבאה).",medium,placeholders substituted
106,SG-HE-02735,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,152,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: לא ממפים כאן math.divisibility_factors — סימני התחלקות פורמליים בקטלוג נפרד לכיתה ג׳ (g3_divisibility_intro); הגנרטור משחרר התחלקות מכיתה ג׳ בלבד.",high,
107,SG-HE-02835,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,580,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: לא ממפים math.word_problems כאן — שאלות מילוליות ואחוזים/יחס מקבלות מקטע ייעודי g6_percent_ratio_problems בלבד; מונע חפיפת מועמדים בביקורת קטלוג.",high,
108,SG-HE-09517,mixed_or_unclear,utils/math-animations.js,679,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: שימו לב: לפי השלבים יצא … אבל התשובה השמורה לשאלה היא …. אם זה קורה, כנראה שיש פרמטרים מיוחדים בשאלה (למשל מספרים עם סימן/המרה).",medium,placeholders substituted
109,SG-HE-10365,mixed_or_unclear,utils/math-explanations.js,776,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: 💡 נסה לחשוב על זה כך: יש לך … עיגולים, ואתה מוסיף … עיגולים נוספים. כמה עיגולים יש לך עכשיו? נסה לספור: ${LTR(",medium,placeholders substituted
110,SG-HE-03530,mixed_or_unclear,utils/geometry-explanations.js,91,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: במשולש ישר־זווית: …. זהה מי היתר (הצלע מול הזווית הישרה) ומה מבקשים — ניצב או יתר — ואז פעולה הפוכה (שורש או הפרש ריבועים).",medium,placeholders substituted
111,SG-HE-02478,mixed_or_unclear,utils/curriculum-audit/english-official-subsection-catalog.js,119,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: המפה השמרנית ב-israeli-primary-curriculum-map עדיין לא מציבה strand נפרד להבנת הנקרא פורמלית לכיתה ג׳ — לא למפות מפתח זה כאן עד עדכון המפה.",high,
112,SG-HE-09655,mixed_or_unclear,utils/math-animations.js,1555,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: מחברים בעמודת ה…: … + …… = …. כותבים ……",medium,placeholders substituted
113,SG-HE-10374,mixed_or_unclear,utils/math-explanations.js,782,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: )} זה כמו לקחת … עיגולים ולחלק אותם ל-… קבוצות שוות. כמה עיגולים בכל קבוצה? …!",medium,placeholders substituted
114,SG-HE-02369,mixed_or_unclear,utils/audio-playback-core.js,236,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: לא זוהתה השמעה. אם אתם בכרום: ודאו שמותקנת חבילת עברית; אם ב־Safari ב־iOS: נסו שוב מיד אחרי טעינת הדף. אפשר גם להשתמש בטקסט שמוצג למעלה.",high,
115,SG-HE-10367,mixed_or_unclear,utils/math-explanations.js,778,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: 💡 נסה לחשוב על זה כך: יש לך … עיגולים, ואתה לוקח … עיגולים. כמה עיגולים נשארו? נסה לספור לאחור: ${LTR(",medium,placeholders substituted
116,SG-HE-04179,mixed_or_unclear,utils/geometry-question-generator.js,1226,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח תיאור — מרובע עם זוגות צלעות נגדיות שווים אך לא כל ארבע השוות; אורך …, רוחב …. מה סוג הצורה? (1 = ריבוע, 2 = מלבן)",medium,placeholders substituted
117,SG-HE-09502,mixed_or_unclear,utils/math-animations.js,610,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: קיבלנו …. כי כפלנו בספרת מקום גבוה (×…), מוסיפים … אפסים בסוף ⇒ ….",medium,placeholders substituted
118,SG-HE-10421,mixed_or_unclear,utils/math-explanations.js,1242,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: …. בעמודת ה… … קטן מ-…, לכן לוקחים ""השאלה"" מהעמודה הבאה (מוסיפים 10 לספרה הזו ומפחיתים 1 בעמודה הבאה).",medium,placeholders substituted
119,SG-HE-04110,mixed_or_unclear,utils/geometry-question-generator.js,895,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ליאו אורז צעצועים בקופסת קרטון בצורת תיבה באורך … ס""מ, רוחב … ס""מ וגובה … ס""מ. מה נפח הקופסה בס""מ מעוקב?",medium,placeholders substituted
120,SG-HE-09524,mixed_or_unclear,utils/math-animations.js,826,mixed_or_unclear,empty_state,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: empty_state
סוג: heading
כפי שמופיע: מכפילים: … × … = …. מחסרים: … - … = …. ${remainder === 0 ? 'אין שארית.' :",medium,placeholders substituted
121,SG-HE-03513,mixed_or_unclear,utils/geometry-explanations.js,34,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: שטח מעגל = … (כאן …). קודם רדיוס בריבוע, ואז הכפלה ב‑π — לא לבלבל עם … שהוא היקף.",medium,placeholders substituted
122,SG-HE-10427,mixed_or_unclear,utils/math-explanations.js,1368,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: …. … נכנס ב-… בדיוק … פעמים. כותבים … במנה מעל הספרה ….",medium,placeholders substituted
123,SG-HE-03882,mixed_or_unclear,utils/geometry-explanations.js,1066,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: זווית הריצוף היא הזווית הפנימית של צורת האריח (ריבוע …, משולש שווה־צלעות …, משושה …).",medium,placeholders substituted
124,SG-HE-04333,mixed_or_unclear,utils/geometry-question-generator.js,1531,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הגדרה מדויקת: ""…"" = משולש המוגדר לפי תכונות הצלעות שלו כ — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
125,SG-HE-04339,mixed_or_unclear,utils/geometry-question-generator.js,1537,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניסוח מתמטי: ""…"" מתייחס למשולש בעל תכונות גיאומטריות של — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
126,SG-HE-04296,mixed_or_unclear,utils/geometry-question-generator.js,1482,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח תכונות מתמטיות: השם ""…"" מרמז על מאפייני הצלעות — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
127,SG-HE-09471,mixed_or_unclear,utils/math-animations.js,386,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: בעמודת ה… … קטן מ-…, לכן לוקחים ""השאלה"" מהעמודה הבאה (מוסיפים 10 לספרה הזו ומפחיתים 1 בעמודה הבאה).",medium,placeholders substituted
128,SG-HE-10705,mixed_or_unclear,utils/math-question-generator.js,3133,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: לתקציב פעילות יש …₪. נרכשו … מחברות ו-… מארזי צבעים, וכל פריט עולה …₪. כמה יתרה תישאר אחרי הרכישה?",medium,placeholders substituted
129,SG-HE-09541,mixed_or_unclear,utils/math-animations.js,992,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: אם המונה גדול מהמכנה, אפשר לכתוב כמספר מעורב: … ÷ … = … ושארית ….",medium,placeholders substituted
130,SG-HE-04287,mixed_or_unclear,utils/geometry-question-generator.js,1471,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: זיהוי לפי הגדרה: ""…"" = משולש עם תכונות ייחודיות של — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
131,SG-HE-04335,mixed_or_unclear,utils/geometry-question-generator.js,1533,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: התאמה מדויקת: ""…"" מתאר משולש עם תכונות ייחודיות של — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
132,SG-HE-04337,mixed_or_unclear,utils/geometry-question-generator.js,1535,mixed_or_unclear,policy,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: policy
סוג: explanation
כפי שמופיע: זיהוי מדויק: ""…"" = משולש המקיים תנאים ספציפיים של — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
133,SG-HE-04393,mixed_or_unclear,utils/geometry-question-generator.js,1624,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הגדרה מדויקת: … = מרובע המוגדר לפי תכונות הצלעות שלו כ — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
134,SG-HE-10675,mixed_or_unclear,utils/math-question-generator.js,2921,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: בספרייה היו … ספרים. הוסיפו … ספרים חדשים, והוצאו להשאלה … ספרים. כמה ספרים נשארו בספרייה עכשיו?",medium,placeholders substituted
135,SG-HE-04293,mixed_or_unclear,utils/geometry-question-generator.js,1479,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח מעמיק: ""…"" — מהי הגדרתו המדויקת של משולש זה? (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
136,SG-HE-04399,mixed_or_unclear,utils/geometry-question-generator.js,1630,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניסוח מתמטי: … מתייחס למרובע בעל תכונות גיאומטריות של — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
137,SG-HE-00696,mixed_or_unclear,data/legal/sitePolicies.he.js,249,policy,empty_state,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: empty_state
סוג: heading
כפי שמופיע: במדיניות/הסכמה: תוכן האתר — שאלות, משחקים, עיצוב, טקסטים ודוחות — שייך לבעלי האתר או לרישיונותיהם. אין להעתיק או להפיץ ללא אישור.",high,
138,SG-HE-03853,mixed_or_unclear,utils/geometry-explanations.js,995,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: המספר בשאלה חייב להתאים לשם המשפחה: ….",medium,placeholders substituted
139,SG-HE-10188,mixed_or_unclear,utils/math-explanations.js,37,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: אחוזים הם חלק מ-…. … זה עשירית, … זה רבע, … זה חצי. נסה לתרגם לחלק פשוט.",medium,placeholders substituted
140,SG-HE-00688,mixed_or_unclear,data/legal/sitePolicies.he.js,231,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: הדוחות והתובנות אינם מהווים אבחון חינוכי, דידקטי או מקצועי, ואינם מחליפים שיקול דעת של מורה, יועץ או איש מקצוע.",high,
141,SG-HE-04323,mixed_or_unclear,utils/geometry-question-generator.js,1519,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הבנת מונח: ""…"" מתייחס למשולש עם מאפייני צלעות — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
142,SG-HE-04372,mixed_or_unclear,utils/geometry-question-generator.js,1593,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח תכונות מתמטיות: השם … מרמז על מאפייני הצלעות — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
143,SG-HE-02776,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,294,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: מיפוי ראשון ל־math.divisibility_factors; מיושר עם שחרור הגנרטור (סימני התחלקות) מכיתה ג׳ — לאמת מול kita3.pdf.",high,
144,SG-HE-04285,mixed_or_unclear,utils/geometry-question-generator.js,1469,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הגדרת סוג משולש: ""…"" מתאר משולש עם תכונות של — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
145,SG-HE-04336,mixed_or_unclear,utils/geometry-question-generator.js,1534,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ביטוי מתמטי: ""…"" הוא מונח המתייחס למשולש שבו — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
146,SG-HE-03529,mixed_or_unclear,utils/geometry-explanations.js,88,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: בכל משולש סכום זוויות פנימיות = …. חברי את שתי הזוויות הנתונות, ואז הפחיתי מהתוצאה מ‑….",medium,placeholders substituted
147,SG-HE-03536,mixed_or_unclear,utils/geometry-explanations.js,109,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: מקבילים: לא נפגשים ומרחק קבוע ביניהם. מאונחים: נפגשים בזווית ישרה (…). איזה תיאור מתאים לשם שבשאלה?",medium,placeholders substituted
148,SG-HE-04295,mixed_or_unclear,utils/geometry-question-generator.js,1481,mixed_or_unclear,policy,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: policy
סוג: explanation
כפי שמופיע: אתגר הגדרות: ""…"" מתאר משולש המקיים תנאים של — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
149,SG-HE-04334,mixed_or_unclear,utils/geometry-question-generator.js,1532,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח מונחי: השם ""…"" מגדיר משולש שמתאפיין ב — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
150,SG-HE-04363,mixed_or_unclear,utils/geometry-question-generator.js,1582,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: זיהוי לפי הגדרה: … = מרובע עם תכונות ייחודיות של — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
151,SG-HE-04395,mixed_or_unclear,utils/geometry-question-generator.js,1626,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: התאמה מדויקת: … מתאר מרובע עם תכונות ייחודיות של — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
152,SG-HE-09890,mixed_or_unclear,utils/math-animations.js,2901,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: יש … תלמידים והם מתחלקים לקבוצות של … תלמידים בכל קבוצה. כמה תלמידים יישארו בלי קבוצה מלאה?",medium,placeholders substituted
153,SG-HE-09956,mixed_or_unclear,utils/math-animations.js,3228,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: לליאו יש …₪. הוא קונה … עטים ו-… עפרונות, וכל פריט עולה …₪. כמה כסף יישאר לו אחרי הקנייה?",medium,placeholders substituted
154,SG-HE-10460,mixed_or_unclear,utils/math-question-generator.js,71,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: יחס מפה–מציאות: … ס""מ על הנייר מתאימים ל-… ס""מ בפועל. מצאו את n בביטוי 1:n (כתבו n) = ……",medium,placeholders substituted
155,SG-HE-10706,mixed_or_unclear,utils/math-question-generator.js,3134,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: לליאו יש …₪. הוא קונה … עטים ו-… עפרונות, וכל פריט עולה …₪. כמה כסף יישאר לו אחרי הקנייה?",medium,placeholders substituted
156,SG-HE-10707,mixed_or_unclear,utils/math-question-generator.js,3153,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: לליאו יש …₪. הוא קונה … עטים ו-… עפרונות, וכל פריט עולה …₪. כמה כסף יישאר לו אחרי הקנייה?",medium,placeholders substituted
157,SG-HE-04338,mixed_or_unclear,utils/geometry-question-generator.js,1536,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הגדרה מתקדמת: ""…"" מוגדר כמשולש שכל צלעותיו — (1 = שוׁה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
158,SG-HE-04397,mixed_or_unclear,utils/geometry-question-generator.js,1628,mixed_or_unclear,policy,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: policy
סוג: explanation
כפי שמופיע: זיהוי מדויק: … = מרובע המקיים תנאים ספציפיים של — (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
159,SG-HE-10674,mixed_or_unclear,utils/math-question-generator.js,2920,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: במחסן היו … קרטונים. הוסיפו … קרטונים חדשים, ונשלחו … לסניף אחר. כמה קרטונים נשארו במחסן?",medium,placeholders substituted
160,SG-HE-02620,mixed_or_unclear,utils/curriculum-audit/israeli-primary-curriculum-map.js,165,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: כיתה … — מתמטיקה: מיפוי לפי מיתרים (מספרים, פעולות, מילולי, שברים וכו׳). יש לאמת מול תוכנית האח״ח.",medium,placeholders substituted
161,SG-HE-02877,mixed_or_unclear,utils/curriculum-audit/official-curriculum-source-registry.js,183,learning_lobby,general,heading,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: heading
כפי שמופיע: בלובי למידה: בדיקת רצף פדגוגי מול מסמך כיתה (PDF) ומיפוי מילולי לפני תיקוני תוכן — ראו דוח math-bank-vs-official-source.",high,
162,SG-HE-04294,mixed_or_unclear,utils/geometry-question-generator.js,1480,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הוכחת זיהוי: מדוע ""…"" שייך לקטגוריה מסוימת? (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
163,SG-HE-04369,mixed_or_unclear,utils/geometry-question-generator.js,1590,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ניתוח מעמיק: … — מהי הגדרתו המדויקת של מרובע זה? (1 = ריבוע, 2 = מלבן, 3 = מקבילית, 4 = טרפז)",medium,placeholders substituted
164,SG-HE-04572,mixed_or_unclear,utils/geometry-question-generator.js,2057,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: גוף תלת־ממדי עם …. מה שמו? (1 = קובייה, 2 = תיבה, 3 = גליל, 4 = פירמידה, 5 = חרוט, 6 = כדור)",medium,placeholders substituted
165,SG-HE-09816,mixed_or_unclear,utils/math-animations.js,2473,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: נחלק את … ב-…: … ÷ … = …. זה מספר שלם, לכן … הוא גורם של …",medium,placeholders substituted
166,SG-HE-09822,mixed_or_unclear,utils/math-animations.js,2508,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: כפולה מתקבלת כשמכפילים את המספר במספר שלם. כפולות של … הן: … × 1, … × 2, … × 3, ...",medium,placeholders substituted
167,SG-HE-10180,mixed_or_unclear,utils/math-explanations.js,19,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: אם יש לך __ + b = c, אז המספר החסר הוא …. אם יש לך a + __ = c, אז המספר החסר הוא ….",medium,placeholders substituted
168,SG-HE-10182,mixed_or_unclear,utils/math-explanations.js,24,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: אם יש לך __ - b = c, אז המספר החסר הוא …. אם יש לך a - __ = c, אז המספר החסר הוא ….",medium,placeholders substituted
169,SG-HE-03556,mixed_or_unclear,utils/geometry-explanations.js,148,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: בריצוף סביב נקודה סכום הזוויות החוצות חייב להסתדר ל‑…. מה הזווית הפנימית הבולטת של הצורה בשאלה?",medium,placeholders substituted
170,SG-HE-04317,mixed_or_unclear,utils/geometry-question-generator.js,1513,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: מונח מתמטי: ""…"" מגדיר משולש עם תכונות של — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
171,SG-HE-09521,mixed_or_unclear,utils/math-animations.js,805,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: … נכנס ב-… בדיוק … פעמים. כותבים … במנה מעל הספרה ….",medium,placeholders substituted
172,SG-HE-04278,mixed_or_unclear,utils/geometry-question-generator.js,1459,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: בחרו את הסוג הנכון: ""…"" מתאר משולש מסוג — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
173,SG-HE-04298,mixed_or_unclear,utils/geometry-question-generator.js,1484,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הבנת מונחים: ""…"" מתייחס למשולש עם תכונת — (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
174,SG-HE-04299,mixed_or_unclear,utils/geometry-question-generator.js,1485,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: אתגר הגדרה: מהו ""…"" במונחי סיווג משולשים? (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)",medium,placeholders substituted
175,SG-HE-00969,mixed_or_unclear,lib/learning-client/subjectMonthlyPersistenceView.js,98,general_component,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: הגעת ל-… דקות — פרס … מטבעות ממתין",medium,placeholders substituted
