severity,category,book,page,path,issue,evidence,recommendation
High,Standalone lesson wording,hebrew-g2,page-111.txt,audio-text/books/hebrew-g2/pages/page-111.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | איזה | משפט | תקין | — | א. | הכלבה | רצה | בגינה, | ב. | רצה | בגינה | הכלבה? | בודקים | סדר | מילים | — | קודם | מי, | אחר | כך | מה | קורה. | א | — | הכלבה | (נושא) | ואז | רצה | (פועל) | — | סדר |","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-118.txt,audio-text/books/hebrew-g2/pages/page-118.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | ""היום | מזג | האוויר | יפה"" | — | נקודה | או | סימן | שאלה? | בודקים | — | האם | שואלים | כאן? | לא, | זו | הודעה. | הודעה | = | נקודה. | שאלה | = | סימן | שאלה. | כאן | מדווחים | על | מזג | האוויר. |","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-125.txt,audio-text/books/hebrew-g2/pages/page-125.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | איזו | קבוצה | היא | פסקה | על | חתול | — | א | או | ב? | בודקים | — | האם | כל | המשפטים | על | אותו | נושא? | א | — | חתול | לבן, | ישן, | אוהב | חלב | — | כולם | על | החתול. | ב | — | סרט | ומכונית","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-132.txt,audio-text/books/hebrew-g2/pages/page-132.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | מה | החפץ | שעשוי | נייר, | כותבים | בו | שיעורים, | ולוקחים | לבית | הספר? | קוראים | את | כל | הרמזים | — | נייר, | כתיבה, | בית | ספר. | מחברת | — | מתאים | לכל | הרמזים. | עט? | — | בו | לא | כותב","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-139.txt,audio-text/books/hebrew-g2/pages/page-139.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | במשפט | ""הכלב | השחור | רץ | אחרי | הכדור"" | — | מה | תפקיד | המילה | רץ? | שואלים | ""מה | הכלב | עושה?"" | — | רץ. | מילה | שמציינת | פעולה | = | פועל. | שחור | — | מתאר, | תואר. | כלב | — | מי, | שם ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-146.txt,audio-text/books/hebrew-g2/pages/page-146.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלה | מסעיף | 5: | תארו | חתול | לבן | קטן. | משפט | 1 | — | גודל | וצבע. | משפט | 2 | — | פרט | נוסף. | חתול | לבן | קטן | ישן | על | הספה. | יש | לו | עיניים | ירוקות. | זה | תיאור | — | לא | סיפור. | חתול | לבן | קטן,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g2,page-153.txt,audio-text/books/hebrew-g2/pages/page-153.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | נפגשתם | עם | חבר | קרוב | בחצר | — | מה | תגידו? | מצב | = | בחוץ, | עם | חבר | קרוב. | לא | מורה, | לא | שיעור. | עם | חבר | קרוב | — | ""היי"" | ידידותי | ומתאים. | ""שלום | רב"" | — | רשמי | מדי | לחב","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Duplicate text,hebrew-g2,page-158.txt,audio-text/books/hebrew-g2/pages/page-158.txt,"שורה זהה מופיעה פעמיים ברצף: ""בבקשה.""",חבר | אמר | תודה | — | מה | נענה? | תודה | → | תגובה | נחמדה. | בבקשה. | בבקשה.,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Standalone lesson wording,hebrew-g2,page-160.txt,audio-text/books/hebrew-g2/pages/page-160.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלה | מסעיף | 5: | חברה | אמרה: | תודה | שהלוית | אותי! | — | מה | עונים? | שמענו | תודה | → | מחפשים | תגובה | נחמדה | ומתאימה. | ""בבקשה"" | — | תגובה | מנומסת | ונכונה | לתודה. | ""תודה"" | בחזרה | — | מבלבל. | בבקשה. | ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-006.txt,audio-text/books/hebrew-g3/pages/page-006.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | כמה | משפטים | יש | בקטע? | אמא | הכינה | ארוחת | בוקר | — | משפט | ראשון. | אכלנו | יחד | — | משפט | שני. | יצאנו | לבית | הספר | — | משפט | שלישי. | שלושה | משפטים. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-013.txt,audio-text/books/hebrew-g3/pages/page-013.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מידע | או | סיפור? | ""הכלב | הוא | חיית | מחמד"" | — | מסביר | עובדה, | ללא | דמות | עם | פעולה. | ""נועה | ליטפה | את | הכלב"" | — | יש | דמות | (נועה) | שעושה | משהו. | עובדה | = | מידע. | מי | עשה | מה","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-020.txt,audio-text/books/hebrew-g3/pages/page-020.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | המשמעות | — | גשם | או | שמש? | כתוב | ""שיחקו | בגשם."" | גשם | — | מוזכר | במפורש. | שמש | — | לא | כתוב | בשום | מקום. | על | גשם | — | הילדים | שיחקו | בגשם | בחצר. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-027.txt,audio-text/books/hebrew-g3/pages/page-027.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | האם | כתוב | שהמורה | צעקה? | חפשו | בטקסט | — | ""תלמידים | קראו | ספר | בשקט."" | שקט | — | רמז | הפוך | לצעקה. | המורה | לא | מוזכרת | כלל | — | לא | כתוב | שצעקה. | לא | — | לא | כתוב | שהמורה | צעקה","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-034.txt,audio-text/books/hebrew-g3/pages/page-034.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | היה | לרינה | לפי | הקטע? | מחפשים | בטקסט | — | ""תיק | כחול."" | כתוב | במפורש | — | תיק | כחול. | מחברת | לא | מוזכרת | בקטע. | תיק | כחול. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-041.txt,audio-text/books/hebrew-g3/pages/page-041.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | מה | הסיבה | שדנה | לא | ישנה? | מה | קרה | קודם | — | היה | רועש | בחוץ. | מה | קרה | אחרי | — | לא | ישנה. | הרעש | הוא | הסיבה | — | הוא | גרם | לה | להיות | ערה. | כי | היה | רועש | בחוץ. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-048.txt,audio-text/books/hebrew-g3/pages/page-048.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | למה | חגגנו? | מוצאים | לכן | בטקסט | — | ""ניצחנו, | לכן | חגגנו."" | הסיבה | לפני | לכן | — | ניצחנו. | הפסדנו | — | הפוך, | לא | כתוב. | כי | ניצחנו. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-055.txt,audio-text/books/hebrew-g3/pages/page-055.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | שני | עצים | — | גבוה | ונמוך. | במה | שונים? | כתוב | — | גבוה | ונמוך. | שניהם | עצים | — | בזה | דומים. | ההבדל | — | בגובה, | לא | בצבע. | שונים | בגובה. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-062.txt,audio-text/books/hebrew-g3/pages/page-062.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | מה | משתמע | — | קור | או | חם? | רוח | נשבה | — | רמז | לקור. | מעיל | — | לובשים | מעיל | בקור. | שני | רמזים | מצביעים | על | קור. | משתמע | שהיה | קור | בחוץ. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-069.txt,audio-text/books/hebrew-g3/pages/page-069.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | מה | חסר | — | שמח? | ניצחנו | — | רמז | חיובי. | חייכנו | — | רמז | לשמחה. | שמח | — | מתאים | לניצחון | ולחייך. | שמחנו | — | שמח. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-076.txt,audio-text/books/hebrew-g3/pages/page-076.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | לילה | : | חשוך | :: | יום | : | ? | לילה | — | חשוך. | זה | הקשר: | תקופת | זמן | ותנאי | האור. | יום | — | מה | מתאים | לאותו | קשר? | בהיר. | שולחן | — | לא | קשור | לאור. | בהיר. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-083.txt,audio-text/books/hebrew-g3/pages/page-083.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | האם | ""בלילה | ירד | שלג"" | נכון | לפי | הקטע? | חפשו | שלג | ולילה | בקטע. | כתוב | רק | ""שמש | חם"" | — | לא | שלג | ולא | לילה. | שלג | לא | כתוב | — | לא | נכון. | לא | נכון | — | שלג | לא | כתוב | ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-090.txt,audio-text/books/hebrew-g3/pages/page-090.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | ""טיילנו"" | — | באיזה | זמן? | המילה | אתמול | — | רמז | לעבר. | טיילנו | — | כבר | קרה. | נלך | — | עתיד, | מחר. | טיילנו | — | עבר | (אתמול). | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-097.txt,audio-text/books/hebrew-g3/pages/page-097.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מראה | ניגוד | — | אבל | או | אז? | אבל | — | מחבר | שני | רעיונות | הפוכים. | ""יצאתי | לחצר, | אבל | חזרתי | מהר"" | — | ניגוד | בין | יציאה | לחזרה. | אז | — | מראה | סדר | בזמן, | לא | ניגוד. | ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-104.txt,audio-text/books/hebrew-g3/pages/page-104.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | השורש | של | שמר, | שמירה, | משמר? | מחפשים | אותיות | שחוזרות | — | ש.מ.ר. | ש.מ.ר | — | חוזר | בכל | שלוש | המילים. | כולן | קשורות | לשמירה. | שורש | ש.מ.ר. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-111.txt,audio-text/books/hebrew-g3/pages/page-111.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מתאים | לשירה | — | היא | קוראת? | שירה | — | שם | של | בת, | נקבה. | פועל | לנקבה | יחיד | — | קוראת. | הוא | קורא | — | מתאים | לזכר, | לא | לשירה. | היא | קוראת. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-118.txt,audio-text/books/hebrew-g3/pages/page-118.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | הפועל | במשפט | ""הכלב | שב | הביתה""? | מי | — | הכלב | (שם). | מה | קורה | — | שב. | שב | = | פועל | — | הפעולה. | שב. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-125.txt,audio-text/books/hebrew-g3/pages/page-125.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.",שאלת | סעיף | 5: | מה | מתאים | — | מסיים | או | מסיימים? | מורים | — | רבים. | פועל | לרבים | — | מסיימים. | מסיים | — | ליחיד | בלבד. | מסיימים. | ✓,"להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-132.txt,audio-text/books/hebrew-g3/pages/page-132.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מתאים | — | על | הכיסאות | או | לכיסאות? | יושבים | — | בדרך | כלל | מניחים | עצמנו | על | כיסא. | על | — | מקום | מעל: | ישבנו | על | הכיסאות. | לכיסאות | — | לא | נשמע | טבעי | עם | ""ישבנו."" | ע","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-139.txt,audio-text/books/hebrew-g3/pages/page-139.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | משמעות | ""ענף"" | בכל | הקשר? | בעץ | — | ענף | הוא | חלק | הצמח | שיוצא | מהגזע. | בבית | ספר | — | ענף | הוא | תחום | לימוד. | אותה | מילה | — | הקשר | שונה | לגמרי. | בעץ | — | חלק | הצמח. | בבי","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-146.txt,audio-text/books/hebrew-g3/pages/page-146.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | קושר | ספר, | מספרה, | ספרייה? | מחפשים | אותיות | שחוזרות | — | ס.פ.ר. | ס.פ.ר | — | חוזר | בכל | שלוש | המילים. | כולן | קשורות | לספרים. | שורש | ס.פ.ר. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-153.txt,audio-text/books/hebrew-g3/pages/page-153.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | איזו | מילה | קרובה | ל""גדול"" | — | ענק | או | קטן? | גדול | — | תיאור | גודל | גבוה. | ענק | — | גם | תיאור | גודל | גבוה, | חזק | יותר. | קטן | — | ההפך, | לא | נרדפת. | ענק. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Duplicate text,hebrew-g3,page-158.txt,audio-text/books/hebrew-g3/pages/page-158.txt,"שורה זהה מופיעה פעמיים ברצף: ""קר.""",מה | ההפך | של | חם? | חם | — | טמפרטורה | גבוהה. | ההפך | — | טמפרטורה | נמוכה. | קר. | קר.,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Standalone lesson wording,hebrew-g3,page-160.txt,audio-text/books/hebrew-g3/pages/page-160.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | ההפך | של | גדול | — | קטן | או | קרוב? | גדול | — | תיאור | גודל. | קרוב | — | תיאור | מרחק, | לא | גודל. | קטן | — | גודל | הפוך. | קטן. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-167.txt,audio-text/books/hebrew-g3/pages/page-167.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | שלושת | הראשונים | חולקים? | שיעור | — | מתרחש | בבית | הספר. | מחברת | — | כלי | לימוד | בבית | הספר. | הפסקה | — | חלק | מיום | הלימודים. | אגם | — | בטבע, | לא | בבית | ספר. | שיעור, | מחברת, |","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-174.txt,audio-text/books/hebrew-g3/pages/page-174.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מתאים | — | צעק | או | לחש? | ביקשו | שקט | — | הקשר | של | שקט. | הוציא | קול | חזק | — | ניגוד | לשקט. | צעק | — | קול | חזק, | מדויק. | צעק. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-181.txt,audio-text/books/hebrew-g3/pages/page-181.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מתאים | לסוף | יום | הגשם? | נושא | — | יום | גשם, | מטריות. | ""חזרנו | הביתה | יבשים"" | — | ממשיך | את | אותו | יום. | ""שמש | בלי | קשר"" | — | נושא | חדש, | שובר | את | הסדר. | חזרנו | הביתה | יב","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-188.txt,audio-text/books/hebrew-g3/pages/page-188.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | סיימתי | שיעורים. | ___ | יצאתי | לשחק. | ואז | או | לכן? | קודם | שיעורים, | אחר | כך | שחק | — | זה | סדר | זמן. | ואז | מראה | סדר: | שיעורים | ואז | משחק. | לכן | מתאים | לסיבה | ותוצאה | — | כאן |","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-195.txt,audio-text/books/hebrew-g3/pages/page-195.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | איזה | סיום | מתאים | לניסוי | במים? | נושא | — | מים, | ניסוי. | ""לסיכום, | למדנו | על | המים"" | — | מתחבר | לנושא. | ""אתמול | יום | הולדת"" | — | נושא | חדש, | לא | מתאים | לסיום. | לסיכום, | למדנו | ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-202.txt,audio-text/books/hebrew-g3/pages/page-202.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | מתאים | — | תודה | או | בבקשה? | כבר | אמרו | תודה | על | העזרה | הקודמת. | עכשיו | מבקשים | שוב | — | לפני | בקשה: | בבקשה. | תודה | — | אחרי | קבלת | עזרה, | לא | לפניה. | בבקשה | — | לפני | הבק","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-209.txt,audio-text/books/hebrew-g3/pages/page-209.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | איך | משתתפים | בשיח? | מציגים | עמדה | — | ""דעתי, | כן, | כדאי | הפסקה | ארוכה."" | נותנים | סיבה | — | ""כי | אפשר | לנוח | ולשחק."" | דעתי | + | כי | = | דעה | עם | סיבה | = | שיח. | דעתי | — | כי | — ","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g3,page-216.txt,audio-text/books/hebrew-g3/pages/page-216.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | יגיד | חבר | שצריך | עזרה? | קודם | מבקשים | עזרה | — | ""עזרה, | בבקשה."" | תודה | — | רק | אחרי | שקיבלו | עזרה, | לא | לפני. | הסדר | הנכון: | בבקשה | → | עזרה | → | תודה. | עזרה, | בבקשה | — | ו","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-006.txt,audio-text/books/hebrew-g4/pages/page-006.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | סיפור | או | מידע? | יש | דמות | — | רון. | יש | רגש | — | ""דאג | לעצים,"" | ""רצה | לעזור."" | דמות | + | רגש | + | פעולה | = | סיפור. | סיפור | — | יש | דמות | (רון) | ורגש. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-013.txt,audio-text/books/hebrew-g4/pages/page-013.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | האם | הכתבה | מקור | אמין | יותר? | לכתבה | — | שם | עיתונאית | ותאריך. | לתגובה | אנונימית | — | אין | שם, | אין | מוסד. | שם | + | עיתון | = | מקור | שניתן | לבדוק. | כן | — | כתבה | עם | שם | ותאריך","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-020.txt,audio-text/books/hebrew-g4/pages/page-020.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | קרה | ולמה? | למה | — | ""בגלל | סופת | גשמים."" | מה | קרה | — | ""ביטלו | פעילות | בחצר."" | תוצאה | — | ""נשארו | בספרייה | וקראו."" | בגלל | הגשם | ביטלו | פעילות | — | הילדים | נשארו | בספרייה | וק","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-027.txt,audio-text/books/hebrew-g4/pages/page-027.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | העיקר | לסיכום? | נושא | — | תערוכה | על | מים. | מה | חשוב | — | צילומים | ומוצגים, | סיור | חינם. | משפט | סיכום | קצר. | תערוכה | על | מים | בישראל | במוזיאון | — | עם | סיור | מודרך | חינם | ב","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-034.txt,audio-text/books/hebrew-g4/pages/page-034.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | פתיחה | וסיום? | ""ביום | ג׳ | יצאנו | לשמורה"" | — | מציג | נושא | ויום. | זו | פתיחה. | המשפטים | האמצעיים | — | פרטים. | זה | גוף. | ""חזרנו | עייפים | אבל | שמחים"" | — | סוגר | את | הטיול. | זה | סיום","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-041.txt,audio-text/books/hebrew-g4/pages/page-041.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | כמה | ציפורי | שחף | נספרו? | מחפשים | מספר | בקטע. | כתוב | — | ""עשרים | ושש | ציפורי | שחף."" | זה | פרט | מפורש | שכתוב | בטקסט. | עשרים | ושש | ציפורי | שחף. | ✓","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
High,Standalone lesson wording,hebrew-g4,page-048.txt,audio-text/books/hebrew-g4/pages/page-048.txt,"הטקסט מפנה ל""סעיף 5"". זה נשמע טכני ולא טבעי בספר/שמע לילדים.","שאלת | סעיף | 5: | מה | משתמע | על | דנה? | עיניים | לחות | — | רמז | לרגש | חזק. | ""מזכיר | לי | את | הנופש | אצל | סבתא"" | — | זיכרון | חשוב. | משתמע | — | הציור | גורם | לה | להתרגש | מהזיכרון. | דנה | מתרגשת | מהזיכר","להחליף ל""השאלה מהעמוד הקודם"" / ""שאלת התרגול"" או פשוט לחזור על השאלה עצמה."
