category,engine_action_or_state,source_file,exact_condition_in_code,input_fields,output_field,parent_text_template_now,example_rendered_text,positive_or_negative_or_neutral,shown_in_short_screen,shown_in_short_pdf,shown_in_detailed_screen,shown_in_detailed_pdf,hidden_or_truncated,generic_or_specific,can_duplicate_with,can_conflict_with,notes_for_hebrew_rewrite
root_cause,speed_pressure,utils/parent-report-root-cause.js,estimateRowRootCause: speedOnlyRisk OR speed_pressure behavior,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},נראה שהקושי נוגע בעיקר למסלול מהיר או לחץ זמן,negative,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,instruction_friction,utils/parent-report-root-cause.js,estimateRowRootCause: instruction_friction || hintDependenceRisk,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},הדפוס תואם קריאת משימה ותלות ברמזים,negative,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,careless_execution,utils/parent-report-root-cause.js,estimateRowRootCause: careless_pattern OR acc>=68 wr band,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},יש סימנים לרשלנות ביצוע לצד שליטה סבירה,negative,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,weak_independence,utils/parent-report-root-cause.js,estimateRowRootCause: fragile_success+trend OR independenceDeteriorating,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},העצמאות בפתרון נמוכה יחסית לעומת הדיוק,negative,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,early_stage_instability,utils/parent-report-root-cause.js,estimateRowRootCause: q<12 || conclusionStrength==='tentative',"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},עדיין מוקדם בטווח — התמונה עלולה להתייצב,neutral,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,mixed_signal,utils/parent-report-root-cause.js,estimateRowRootCause: restraint.level==='mixed' OR default,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},כמה אותות מצביעים לכיוונים שונים,neutral,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
behavior_profile,knowledge_gap,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: wrongRatio>=0.32 OR maxFamCount>=3 OR acc<62,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=knowledge_gap; behaviorDominantLabelHe,קושי בבסיס,קושי בבסיס,negative,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,speed_pressure,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: modeKey speed OR medWrongMs<2200,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=speed_pressure; behaviorDominantLabelHe,לחץ מהירות,לחץ מהירות,negative,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,instruction_friction,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: hintRate>=0.42,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=instruction_friction; behaviorDominantLabelHe,עוזר לו יותר כשיש ליווי או הסבר ליד,עוזר לו יותר כשיש ליווי או הסבר ליד,negative,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,careless_pattern,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: acc 55-85 + fast wrong responses,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=careless_pattern; behaviorDominantLabelHe,רגעים של חוסר ריכוז שחוזרים,רגעים של חוסר ריכוז שחוזרים,negative,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,fragile_success,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: acc 72-92 + firstTryMiss/avgRetry/changedRate,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=fragile_success; behaviorDominantLabelHe,הצלחה שבירה,הצלחה שבירה,negative,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,stable_mastery,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: q>=8 acc>=88 wrongRatio<=0.14,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=stable_mastery; behaviorDominantLabelHe,שליטה טובה בנושא לאורך זמן,שליטה טובה בנושא לאורך זמן,positive,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,undetermined,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: best score <1.15 && q<4,"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=undetermined; behaviorDominantLabelHe,לא נקבע,לא נקבע,neutral,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
behavior_profile,mixed_low_signal,utils/parent-report-row-behavior.js,computeRowBehaviorProfile scores: (UI label only),"mistake events: hintRate, firstTryMissRate, changedRate, avgRetry, responseMs",diagnosticType=mixed_low_signal; behaviorDominantLabelHe,עדיין מעט מידע — אי אפשר להסיק בוודאות,עדיין מעט מידע — אי אפשר להסיק בוודאות,neutral,yes,yes,no,no,winner strength01 in trace only,specific,root_cause same id,stable_mastery vs fragile_success same row edge,
accuracy_behavior_metric,firstTryMissRate,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: fragile_success && firstTryMiss>=0.4,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,בניסיון הראשון יש פספוס ב-{pct}% מהשאלות הבעייתיות,בניסיון הראשון יש פספוס ב-48% מהשאלות הבעייתיות,negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,changedRate,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: fragile_success && changedRate>=0.3,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,הילד מחליף תשובה לעיתים קרובות ({pct}%),הילד מחליף תשובה לעיתים קרובות (48%),negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,avgRetry,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: fragile_success && avgRetry>=1.15,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,ממוצע {avgRetry} ניסיונות לשאלה שגויה,ממוצע 1.3 ניסיונות לשאלה שגויה,negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,fragile_success_default,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: fragile_success else branch,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,הדיוק נראה סביר אבל התשובה לא תמיד משקפת שליטה יציבה,הדיוק נראה סביר אבל התשובה לא תמיד משקפת שליטה יציבה,negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,mid_accuracy_60_74,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: acc in remediate band (legacy+row),"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,דיוק בינוני — חיזוק באותה רמה,דיוק בינוני — חיזוק באותה רמה,negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,low_accuracy,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: acc<55 or acc<62 knowledge_gap,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,דיוק נמוך — ביסוס,דיוק נמוך — ביסוס,negative,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,high_accuracy_85_plus_errors,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: acc>=85 && wrongs recurring,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,דיוק גבוה עם טעויות חוזרות — fragile/careless,דיוק גבוה עם טעויות חוזרות — fragile/careless,neutral,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
accuracy_behavior_metric,maintained_accuracy,utils/topic-next-step-phase2.js,buildWhyThisRecommendationHe: stable_mastery in buildWhy,"behaviorSignals.firstTryMissRateOnWrong, changedAnswerRateOnWrong, avgRetryOnWrong, acc, q",whyThisRecommendationHe fragment,הנושא נראה בשליטה טובה ויציבה (דיוק {acc}% מתוך {q} שאלות),הנושא נראה בשליטה טובה ויציבה (דיוק 82% מתוך 24 שאלות),positive,yes,yes,no,no,full why may be long,specific,ParentReportTopicExplainBlock meaning,stable_mastery + mistake pattern,
foundation_dependency,insufficient_dependency_evidence,utils/parent-report-foundation-dependency.js,buildFoundationDependencyPhase14: weak||gateReadiness==='insufficient',"rootCause, learningStage, mistakeRecurrence, q, evidenceStrength","dependencyState, foundationDependencyNarrativeHe, topicFoundationDependencyCompactLineHe",אין מספיק מידע כדי לקבוע אם הבעיה מקומית או ביסודית,ב«חיבור»: אין מספיק מידע כדי לקבוע אם הבעיה מקומית או ביסודית,neutral,yes,yes,no,no,vague 'חלקים פשוטים' filtered by VAGUE_FOUNDATION_PHRASE,specific,parentFacingFoundationLineHe,likely_local_issue vs likely_foundational_block,Must not invent prerequisite topic name
foundation_dependency,likely_local_issue,utils/parent-report-foundation-dependency.js,buildFoundationDependencyPhase14: speedOnly&&!fragile OR localScore>=2,"rootCause, learningStage, mistakeRecurrence, q, evidenceStrength","dependencyState, foundationDependencyNarrativeHe, topicFoundationDependencyCompactLineHe",נראה שהקושי מקומי לנושא,ב«חיבור»: נראה שהקושי מקומי לנושא,neutral,yes,yes,no,no,vague 'חלקים פשוטים' filtered by VAGUE_FOUNDATION_PHRASE,specific,parentFacingFoundationLineHe,likely_local_issue vs likely_foundational_block,Must not invent prerequisite topic name
foundation_dependency,likely_foundational_block,utils/parent-report-foundation-dependency.js,buildFoundationDependencyPhase14: foundationScore>=3 OR (>=2 && fragile/persistent),"rootCause, learningStage, mistakeRecurrence, q, evidenceStrength","dependencyState, foundationDependencyNarrativeHe, topicFoundationDependencyCompactLineHe",נראה שיש חסם יסודי — כדאי לחזק בסיס לפני הרחבה,ב«חיבור»: נראה שיש חסם יסודי — כדאי לחזק בסיס לפני הרחבה,negative,yes,yes,no,no,vague 'חלקים פשוטים' filtered by VAGUE_FOUNDATION_PHRASE,specific,parentFacingFoundationLineHe,likely_local_issue vs likely_foundational_block,Must not invent prerequisite topic name
foundation_dependency,mixed_dependency_signal,utils/parent-report-foundation-dependency.js,buildFoundationDependencyPhase14: foundationScore&&localScore mixed,"rootCause, learningStage, mistakeRecurrence, q, evidenceStrength","dependencyState, foundationDependencyNarrativeHe, topicFoundationDependencyCompactLineHe",יש גם סימנים לבסיס וגם לקושי מקומי,ב«חיבור»: יש גם סימנים לבסיס וגם לקושי מקומי,neutral,yes,yes,no,no,vague 'חלקים פשוטים' filtered by VAGUE_FOUNDATION_PHRASE,specific,parentFacingFoundationLineHe,likely_local_issue vs likely_foundational_block,Must not invent prerequisite topic name
foundation_dependency,accuracy_foundation_gap,utils/parent-report-foundation-dependency.js,buildFoundationDependencyPhase14: knowledgeGap+persistentMistakes blocker,"rootCause, learningStage, mistakeRecurrence, q, evidenceStrength","dependencyState, foundationDependencyNarrativeHe, topicFoundationDependencyCompactLineHe",פער דיוק חוזר בבסיס,ב«חיבור»: פער דיוק חוזר בבסיס,negative,yes,yes,no,no,vague 'חלקים פשוטים' filtered by VAGUE_FOUNDATION_PHRASE,specific,parentFacingFoundationLineHe,likely_local_issue vs likely_foundational_block,Must not invent prerequisite topic name
mistake_pattern,insufficient_mistake_evidence,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: mC===0&&q<10 OR weakSignal,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: עדיין אין מספיק דוגמאות כדי לראות טעות חוזרת ברורה,ב«חיבור» הדפוס הבולט: עדיין אין מספיק דוגמאות כדי לראות טעות חוזרת ברורה,neutral,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,speed_driven_error,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: speed_pressure root/behavior,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: טעות שנובעת ממהירות,ב«חיבור» הדפוס הבולט: טעות שנובעת ממהירות,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,instruction_misread,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: instruction_friction/hintDependence,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: טעות בקריאה או בהבנת המשימה,ב«חיבור» הדפוס הבולט: טעות בקריאה או בהבנת המשימה,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,support_dependent_success,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: weak_independence/independenceDeteriorating,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: הצלחה בעיקר כשיש ליווי ליד,ב«חיבור» הדפוס הבולט: הצלחה בעיקר כשיש ליווי ליד,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,careless_flip,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: careless_execution/careless_pattern,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: טעות קטנה כשנמהרים או מדלגים על צעד,ב«חיבור» הדפוס הבולט: טעות קטנה כשנמהרים או מדלגים על צעד,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,concept_confusion,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: knowledge_gap strong + wr>0.38,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: בלבול מושגי חוזר,ב«חיבור» הדפוס הבולט: בלבול מושגי חוזר,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,procedure_break,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: knowledge_gap strong + wr<=0.38,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: בלבול בסדר הפעולות,ב«חיבור» הדפוס הבולט: בלבול בסדר הפעולות,negative,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,mixed_mistake_pattern,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: fragileProgress OR default,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: תערובת טעויות — בלי דפוס אחד ברור,ב«חיבור» הדפוס הבולט: תערובת טעויות — בלי דפוס אחד ברור,neutral,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
mistake_pattern,early_learning_noise,utils/parent-report-mistake-intelligence.js,buildMistakeIntelligencePhase9: q<12 unclear trend,"mistakeEventCount, rootCause, behaviorType, q, accuracy, wrongRatio","dominantMistakePattern, dominantMistakePatternLabelHe, mistakePatternNarrativeHe",ב«{name}» הדפוס הבולט: רעש טבעי של למידה מוקדמת,ב«חיבור» הדפוס הבולט: רעש טבעי של למידה מוקדמת,neutral,yes,yes,no,no,recurrence level appended in narrative,specific,parentFacingPatternLineHe,no_pattern_honest when insufficient,
recommended_step,advance_level,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.advance_level,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",העלאת רמת קושי — בנושא זה בלבד,מה זוהה: העלאת רמת קושי — בנושא זה בלבד ב«חיבור».,positive,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
recommended_step,advance_grade_topic_only,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.advance_grade_topic_only,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",העלאת כיתה — בנושא זה בלבד,מה זוהה: העלאת כיתה — בנושא זה בלבד ב«חיבור».,positive,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
recommended_step,maintain_and_strengthen,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.maintain_and_strengthen,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",לבסס באותה רמה,מה זוהה: לבסס באותה רמה ב«חיבור».,neutral,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
recommended_step,remediate_same_level,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.remediate_same_level,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",חיזוק באותה רמה,מה זוהה: חיזוק באותה רמה ב«חיבור».,negative,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
recommended_step,drop_one_level_topic_only,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.drop_one_level_topic_only,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",הורדת רמת קושי — בנושא זה בלבד,מה זוהה: הורדת רמת קושי — בנושא זה בלבד ב«חיבור».,negative,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
recommended_step,drop_one_grade_topic_only,utils/topic-next-step-engine.js,RECOMMENDED_STEP_LABEL_HE.drop_one_grade_topic_only,final recommendedNextStep after all guards,"recommendedStepLabelHe, topicEngineRowSignals",הורדת רמת קושי — בנושא זה בלבד,מה זוהה: הורדת רמת קושי — בנושא זה בלבד ב«חיבור».,negative,yes,yes,no,no,none,specific,whyThisRecommendationHe opening,phase2 may change step after label computed,
risk_flag,falsePromotionRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: falsePromotionRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',חשש מעליית רמה מוקדמת מדי,נקודות לתשומת לב: חשש מעליית רמה מוקדמת מדי.,neutral,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
risk_flag,falseRemediationRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: falseRemediationRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',חשש מטיפול יתר,נקודות לתשומת לב: חשש מטיפול יתר.,neutral,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
risk_flag,speedOnlyRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: speedOnlyRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',נטייה למהירות,נקודות לתשומת לב: נטייה למהירות.,negative,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
risk_flag,hintDependenceRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: hintDependenceRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',הילד עדיין נעזר ברמזים,נקודות לתשומת לב: הילד עדיין נעזר ברמזים.,negative,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
risk_flag,insufficientEvidenceRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: insufficientEvidenceRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',מידע חלקי בלבד,נקודות לתשומת לב: מידע חלקי בלבד.,neutral,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
risk_flag,recentTransitionRisk,utils/topic-next-step-phase2.js,buildPhase2RiskFlags: recentTransitionRisk===true,"behavior, trend, restraint, row metrics",riskFlags; appended to whyThisRecommendationHe as 'נקודות לתשומת לב',שינוי קטן לאחרונה,נקודות לתשומת לב: שינוי קטן לאחרונה.,neutral,partial,partial,no,no,activeRiskFlagLabelsHe max 4 in some views,specific,phase2 guard same theme,advance rule vs falsePromotionRisk,
intervention_doNow,insufficient_evidence_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='insufficient_evidence',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe","תרגול קצר ומדיד: אותה משימה, אותה רמה, דגש על קריאה לפני תשובה.","תרגול קצר ומדיד: אותה משימה, אותה רמה, דגש על קריאה לפני תשובה.",neutral,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,speed_pressure_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='speed_pressure',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe","תרגול אחד קצר בלי טיימר, עם עצירה לפני שליחה.","תרגול אחד קצר בלי טיימר, עם עצירה לפני שליחה.",neutral,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,instruction_friction_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='instruction_friction',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe","משימה קצרה, ניסוח ברור, פחות הסברים ארוכים בזמן התרגול.","משימה קצרה, ניסוח ברור, פחות הסברים ארוכים בזמן התרגול.",negative,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,weak_independence_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='weak_independence',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe",להפריד בבירור בין «ניסיון לבד» לבין «בדיקה יחד בסוף».,להפריד בבירור בין «ניסיון לבד» לבין «בדיקה יחד בסוף».,negative,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,knowledge_gap_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='knowledge_gap',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe",חזרה ממוקדת על טעויות דומות באותה רמת קושי.,חזרה ממוקדת על טעויות דומות באותה רמת קושי.,negative,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,careless_execution_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='careless_execution',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe",כל משימה עם עצירת בדיקה קצרה לפני סיום.,כל משימה עם עצירת בדיקה קצרה לפני סיום.,neutral,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,mixed_signal_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='mixed_signal',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe",להמשיך באותה רמה ולבדוק את הדיוק אחרי כל מפגש.,להמשיך באותה רמה ולבדוק את הדיוק אחרי כל מפגש.,neutral,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
intervention_doNow,early_stage_instability_doNow,utils/parent-report-intervention-plan.js,buildInterventionPlanPhase8 rootCause==='early_stage_instability',"rootCause, conclusionStrength, q, phase9 overlays","doNowHe, interventionPlanHe, recommendedParentActionHe",(same as mixed_signal branch),(same as mixed_signal branch),neutral,yes,yes,no,no,avoidNowHe not always shown,specific,homeRecommendations,doNow vs step contradiction if guards disagree,
overview_strength,strongestAreaLineHe,utils/parent-report-v2.js,strengthCandidates[0]: positiveAuthorityLevel excellent/very_good/good OR actionState maintain/expand,diagnosticEngineV2.units canonicalState,summary.diagnosticOverviewHe.strongestAreaLineHe,"{subject}: {name}: {q} שאלות, דיוק {acc}%","גאומטריה: משולשים: 45 שאלות, דיוק 92%",positive,yes,yes,no,no,none,specific,rawMetricStrengthsHe,requiresAttentionPreview same subject,
